                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1682,                 1.9195,                0.94644,                0.95416,                0.87462,                0.95893,                0.74366,                0.79037,                 1.2843,                0.94262,             0.00066228,             0.00066228,             0.00066228
                      2,                 1.1162,                 1.0357,                 0.9555,                0.94123,                0.95798,                0.98708,                0.78316,                0.79401,                0.70791,                0.95093,              0.0012851,              0.0012851,              0.0012851
                      3,                 1.0726,                0.74377,                 0.9424,                0.98268,                0.95331,                0.98276,                0.70975,                0.87085,                0.57213,                0.95027,              0.0018639,              0.0018639,              0.0018639
                      4,                 1.0621,                0.65296,                0.93327,                0.95568,                0.98319,                0.98756,                0.77889,                0.79512,                0.50227,                0.93765,               0.001802,               0.001802,               0.001802
                      5,                 1.0414,                0.60104,                0.93007,                0.99077,                 0.9916,                0.99492,                0.78607,                0.72658,                0.44491,                0.90467,               0.001802,               0.001802,               0.001802
                      6,                0.99826,                0.57759,                0.92379,                0.98119,                0.95798,                0.99116,                0.80701,                0.66091,                0.42999,                0.89202,               0.001736,               0.001736,               0.001736
                      7,                0.98978,                0.54564,                0.91513,                0.97509,                0.98678,                 0.9939,                0.79885,                0.69028,                0.41766,                 0.8993,                0.00167,                0.00167,                0.00167
                      8,                0.97006,                0.52964,                0.92323,                0.98301,                0.97479,                0.99131,                0.81147,                0.67019,                0.42657,                0.90353,               0.001604,               0.001604,               0.001604
                      9,                0.95847,                0.52196,                0.90681,                0.98419,                0.97479,                 0.9936,                0.83947,                0.66828,                0.41395,                0.89294,               0.001538,               0.001538,               0.001538
                     10,                 0.9488,                0.50414,                  0.906,                0.99856,                 0.9916,                  0.995,                0.85957,                0.65624,                0.37542,                0.88544,               0.001472,               0.001472,               0.001472
                     11,                0.92778,                0.49043,                0.89572,                0.97486,                 0.9916,                0.99347,                0.81682,                0.67345,                0.39259,                0.89418,               0.001406,               0.001406,               0.001406
                     12,                0.93352,                0.48757,                0.90128,                0.97453,                 0.9916,                0.99433,                  0.846,                 0.5855,                0.33869,                0.87978,                0.00134,                0.00134,                0.00134
                     13,                0.89091,                0.47321,                0.88978,                      1,                0.98929,                  0.995,                0.85171,                0.59036,                0.33566,                0.87557,               0.001274,               0.001274,               0.001274
                     14,                0.89253,                0.45939,                0.88927,                0.98944,                 0.9916,                0.99433,                0.83797,                0.59149,                0.34888,                0.86904,               0.001208,               0.001208,               0.001208
                     15,                0.89748,                0.45755,                0.89421,                      1,                0.99018,                  0.995,                0.86265,                0.60322,                0.34156,                 0.8756,               0.001142,               0.001142,               0.001142
                     16,                0.89027,                0.44865,                0.90191,                      1,                0.99137,                  0.995,                0.85951,                0.55866,                0.32499,                0.86662,               0.001076,               0.001076,               0.001076
                     17,                0.87045,                0.44414,                0.88367,                 0.9988,                 0.9916,                  0.995,                0.85121,                0.59027,                 0.3321,                0.85965,                0.00101,                0.00101,                0.00101
                     18,                 0.8645,                0.43376,                0.88479,                0.99563,                 0.9916,                  0.995,                0.86098,                0.56047,                0.31356,                0.86587,               0.000944,               0.000944,               0.000944
                     19,                0.86378,                0.42466,                0.88616,                0.99159,                0.99078,                0.99374,                0.87868,                0.53825,                0.32124,                0.86083,               0.000878,               0.000878,               0.000878
                     20,                0.84713,                0.41679,                0.88609,                0.99855,                 0.9916,                  0.995,                0.88413,                0.56522,                0.30127,                0.86342,               0.000812,               0.000812,               0.000812
                     21,                0.86376,                0.40976,                0.88466,                0.98345,                0.99891,                0.99475,                0.87792,                0.56866,                0.31219,                0.86177,               0.000746,               0.000746,               0.000746
                     22,                0.86509,                0.39933,                0.88132,                      1,                0.99934,                  0.995,                0.88686,                0.54228,                0.29599,                0.85244,                0.00068,                0.00068,                0.00068
                     23,                0.84815,                0.39238,                0.88374,                      1,                0.98938,                  0.995,                0.87214,                0.54523,                0.29281,                0.85801,               0.000614,               0.000614,               0.000614
                     24,                0.83495,                0.38409,                0.87383,                      1,                0.99034,                  0.995,                 0.8872,                0.55333,                0.29765,                0.86004,               0.000548,               0.000548,               0.000548
                     25,                0.83347,                0.38486,                0.87784,                      1,                0.99909,                  0.995,                0.88915,                0.54322,                 0.2791,                0.85899,               0.000482,               0.000482,               0.000482
                     26,                0.82723,                0.38104,                0.87623,                  0.999,                 0.9916,                  0.995,                0.88764,                 0.5512,                0.27955,                0.85823,               0.000416,               0.000416,               0.000416
                     27,                0.81169,                0.36771,                0.86914,                0.99885,                 0.9916,                  0.995,                0.89113,                 0.5082,                0.25929,                 0.8487,                0.00035,                0.00035,                0.00035
                     28,                0.79704,                0.35885,                0.86748,                0.99923,                 0.9916,                  0.995,                0.90036,                0.50631,                0.24709,                0.84976,               0.000284,               0.000284,               0.000284
                     29,                0.79494,                0.35352,                0.86994,                0.99927,                 0.9916,                  0.995,                0.90127,                0.50429,                0.25474,                0.85013,               0.000218,               0.000218,               0.000218
                     30,                0.78157,                 0.3419,                0.86832,                0.99929,                 0.9916,                  0.995,                0.91214,                0.49602,                0.24389,                0.84312,               0.000152,               0.000152,               0.000152
